Rank,Player,POS,CBS,AVG,Player_fixed,player_clean,POS_group,year
403,Justin Jackson,RB117,,354.0,Justin Jackson,justin jackson,RB,2018
404,Akrum Wadley,RB118,,355.0,Akrum Wadley,akrum wadley,RB,2018
405,Bennie Fowler,WR126,,356.0,Bennie Fowler,bennie fowler,WR,2018
406,Seth Roberts,WR127,,358.0,Seth Roberts,seth roberts,WR,2018
407,Tim Tebow,TE54,,359.0,Tim Tebow,tim tebow,TE,2018
408,Jeff Heuerman ,TE55,,360.0,Jeff Heuerman ,jeff heuerman,TE,2018
409,DaeSean Hamilton,WR128,,365.0,DaeSean Hamilton,daesean hamilton,WR,2018
410,Jason Sanders,K35,,362.0,Jason Sanders,jason sanders,K,2018
411,Ito Smith ,RB119,,367.5,Ito Smith ,ito smith,RB,2018
412,Kyle Lauletta,QB43,,365.0,Kyle Lauletta,kyle lauletta,QB,2018
