Rank,Player,POS,AVG,Player_fixed,player_clean,POS_group,year,adp_rank,adp_percentile,adp_rank_pos,adp_percentile_pos
146,Justin Fields,QB17,148.0,Justin Fields,justin fields,QB,2022,132,0.5574324324324325,17,0.5675675675675675
147,Los Angeles Chargers,DST9,148.8,Los Angeles Chargers,los angeles chargers,DST,2022,133,0.5540540540540541,9,0.7333333333333334
148,Marquez Valdes-Scantling,WR56,148.8,Marquez Valdes-Scantling,marquez valdes-scantling,WR,2022,133,0.5540540540540541,54,0.48039215686274506
149,Matt Prater,K7,151.0,Matt Prater,matt prater,K,2022,134,0.5506756756756757,6,0.8
150,Brian Robinson Jr.,RB47,153.8,Brian Robinson Jr.,brian robinson jr,RB,2022,135,0.5472972972972974,45,0.5056179775280899
151,Trevor Lawrence,QB18,155.0,Trevor Lawrence,trevor lawrence,QB,2022,136,0.5439189189189189,18,0.5405405405405406
152,Tyler Higbee,TE15,155.3,Tyler Higbee,tyler higbee,TE,2022,137,0.5405405405405406,15,0.6666666666666667
153,Jarvis Landry ,WR57,157.3,Jarvis Landry ,jarvis landry,WR,2022,138,0.5371621621621622,55,0.47058823529411764
154,Baltimore Ravens,DST10,159.8,Baltimore Ravens,baltimore ravens,DST,2022,139,0.5337837837837838,10,0.7
155,DeVante Parker,WR58,161.5,DeVante Parker,devante parker,WR,2022,140,0.5304054054054055,56,0.4607843137254902
156,David Njoku,TE16,161.8,David Njoku,david njoku,TE,2022,141,0.527027027027027,16,0.6428571428571428
157,Jakobi Meyers,WR59,162.3,Jakobi Meyers,jakobi meyers,WR,2022,142,0.5236486486486487,57,0.4509803921568627
158,Noah Fant,TE17,164.3,Noah Fant,noah fant,TE,2022,143,0.5202702702702703,17,0.6190476190476191
159,J.D. McKissic ,RB48,165.3,J.D. McKissic ,jd mckissic,RB,2022,144,0.5168918918918919,46,0.4943820224719101
160,New England Patriots,DST11,166.0,New England Patriots,new england patriots,DST,2022,145,0.5135135135135135,11,0.6666666666666667
161,Jameis Winston,QB19,166.3,Jameis Winston,jameis winston,QB,2022,146,0.5101351351351351,19,0.5135135135135135
162,Younghoe Koo,K8,166.5,Younghoe Koo,younghoe koo,K,2022,147,0.5067567567567568,7,0.76
163,Mecole Hardman Jr.,WR60,168.8,Mecole Hardman Jr.,mecole hardman jr,WR,2022,149,0.5,58,0.4411764705882353
164,Denver Broncos,DST12,169.0,Denver Broncos,denver broncos,DST,2022,150,0.4966216216216216,12,0.6333333333333333
165,Miami Dolphins,DST13,169.3,Miami Dolphins,miami dolphins,DST,2022,151,0.4932432432432432,13,0.6
166,Albert Okwuegbunam Jr.,TE18,169.3,Albert Okwuegbunam Jr.,albert okwuegbunam jr,TE,2022,151,0.4932432432432432,18,0.5952380952380952
167,Jamaal Williams,RB49,170.0,Jamaal Williams,jamaal williams,RB,2022,152,0.4898648648648649,48,0.4719101123595506
168,Nick Folk,K9,172.0,Nick Folk,nick folk,K,2022,154,0.4831081081081081,9,0.6799999999999999
169,Matt Ryan,QB20,172.3,Matt Ryan,matt ryan,QB,2022,155,0.4797297297297297,20,0.4864864864864865
170,Brandon McManus,K10,173.8,Brandon McManus,brandon mcmanus,K,2022,156,0.4763513513513513,10,0.64
171,Jahan Dotson,WR61,174.8,Jahan Dotson,jahan dotson,WR,2022,157,0.472972972972973,59,0.43137254901960786
172,Pittsburgh Steelers,DST14,174.8,Pittsburgh Steelers,pittsburgh steelers,DST,2022,157,0.472972972972973,14,0.5666666666666667
173,Irv Smith Jr.,TE19,175.8,Irv Smith Jr.,irv smith jr,TE,2022,158,0.4695945945945946,19,0.5714285714285714
174,Romeo Doubs,WR62,176.3,Romeo Doubs,romeo doubs,WR,2022,159,0.46621621621621623,60,0.42156862745098034
175,Isaiah McKenzie,WR63,176.3,Isaiah McKenzie,isaiah mckenzie,WR,2022,159,0.46621621621621623,60,0.42156862745098034
176,Robert Tonyan,TE20,177.8,Robert Tonyan,robert tonyan,TE,2022,161,0.45945945945945943,20,0.5476190476190477
177,Ryan Succop,K11,179.0,Ryan Succop,ryan succop,K,2022,163,0.45270270270270274,11,0.6
178,Mark Ingram II ,RB50,179.0,Mark Ingram II ,mark ingram ii,RB,2022,163,0.45270270270270274,51,0.4382022471910112
179,Khalil Herbert,RB51,181.3,Khalil Herbert,khalil herbert,RB,2022,164,0.44932432432432434,52,0.4269662921348315
180,Ryan Tannehill ,QB21,185.3,Ryan Tannehill ,ryan tannehill,QB,2022,166,0.44256756756756754,21,0.45945945945945943
181,Tyler Allgeier,RB52,186.3,Tyler Allgeier,tyler allgeier,RB,2022,167,0.43918918918918914,53,0.4157303370786517
182,Rondale Moore,WR64,186.3,Rondale Moore,rondale moore,WR,2022,167,0.43918918918918914,61,0.4117647058823529
183,Mac Jones,QB22,188.0,Mac Jones,mac jones,QB,2022,169,0.43243243243243246,22,0.43243243243243246
184,Gerald Everett,TE21,189.3,Gerald Everett,gerald everett,TE,2022,171,0.42567567567567566,21,0.5238095238095238
185,Rachaad White,RB53,193.0,Rachaad White,rachaad white,RB,2022,174,0.41554054054054057,57,0.3707865168539326
186,Evan Engram,TE22,193.8,Evan Engram,evan engram,TE,2022,175,0.41216216216216217,22,0.5
187,Deshaun Watson,QB23,194.5,Deshaun Watson,deshaun watson,QB,2022,176,0.40878378378378377,23,0.4054054054054054
188,Baker Mayfield,QB24,195.3,Baker Mayfield,baker mayfield,QB,2022,177,0.4054054054054054,24,0.3783783783783784
189,Philadelphia Eagles,DST15,197.3,Philadelphia Eagles,philadelphia eagles,DST,2022,179,0.3986486486486487,16,0.5
190,Cleveland Browns,DST16,198.0,Cleveland Browns,cleveland browns,DST,2022,180,0.3952702702702703,17,0.4666666666666667
191,Zamir White,RB54,201.3,Zamir White,zamir white,RB,2022,183,0.3851351351351351,60,0.3370786516853933
192,Robbie Gould,K12,201.3,Robbie Gould,robbie gould,K,2022,183,0.3851351351351351,14,0.48
193,Odell Beckham Jr.,WR65,202.0,Odell Beckham Jr.,odell beckham jr,WR,2022,184,0.3817567567567568,63,0.3921568627450981
194,Joshua Palmer,WR66,202.3,Joshua Palmer,joshua palmer,WR,2022,185,0.3783783783783784,64,0.38235294117647056
195,Isiah Pacheco,RB55,178.0,Isiah Pacheco,isiah pacheco,RB,2022,162,0.45608108108108103,50,0.449438202247191
196,Hayden Hurst,TE23,206.0,Hayden Hurst,hayden hurst,TE,2022,188,0.3682432432432432,23,0.47619047619047616
197,Kansas City Chiefs,DST17,183.3,Kansas City Chiefs,kansas city chiefs,DST,2022,165,0.44594594594594594,15,0.5333333333333333
198,Robbie Chosen,WR67,208.5,Robbie Chosen,robbie chosen,WR,2022,192,0.3547297297297297,66,0.36274509803921573
199,Austin Hooper,TE24,209.0,Austin Hooper,austin hooper,TE,2022,193,0.3513513513513513,25,0.4285714285714286
200,Jalen Tolbert,WR68,210.3,Jalen Tolbert,jalen tolbert,WR,2022,194,0.347972972972973,67,0.3529411764705882
201,Kenny Golladay,WR69,210.5,Kenny Golladay,kenny golladay,WR,2022,195,0.3445945945945946,68,0.3431372549019608
202,Christian Watson,WR70,188.3,Christian Watson,christian watson,WR,2022,170,0.42905405405405406,62,0.4019607843137255
203,Marvin Jones Jr.,WR71,212.3,Marvin Jones Jr.,marvin jones jr,WR,2022,199,0.33108108108108103,72,0.303921568627451
204,Wil Lutz,K13,212.3,Wil Lutz,wil lutz,K,2022,199,0.33108108108108103,17,0.36
205,Ronald Jones,RB56,191.0,Ronald Jones,ronald jones,RB,2022,172,0.42229729729729726,55,0.3932584269662921
206,Nico Collins,WR72,213.8,Nico Collins,nico collins,WR,2022,200,0.32770270270270274,73,0.2941176470588235
207,Daniel Jones,QB25,213.8,Daniel Jones,daniel jones,QB,2022,200,0.32770270270270274,26,0.32432432432432434
208,Rodrigo Blankenship,K14,214.5,Rodrigo Blankenship,rodrigo blankenship,K,2022,201,0.32432432432432434,18,0.31999999999999995
209,Jared Goff,QB26,214.8,Jared Goff,jared goff,QB,2022,202,0.32094594594594594,27,0.29729729729729726
210,Chuba Hubbard,RB57,193.0,Chuba Hubbard,chuba hubbard,RB,2022,174,0.41554054054054057,57,0.3707865168539326
211,Taysom Hill,TE25,216.5,Taysom Hill,taysom hill,TE,2022,205,0.31081081081081086,27,0.38095238095238093
212,Greg Joseph,K15,195.3,Greg Joseph,greg joseph,K,2022,177,0.4054054054054054,12,0.56
213,Sammy Watkins,WR73,217.0,Sammy Watkins,sammy watkins,WR,2022,206,0.30743243243243246,74,0.28431372549019607
214,Isaiah Spiller,RB58,199.7,Isaiah Spiller,isaiah spiller,RB,2022,181,0.3918918918918919,58,0.3595505617977528
215,Cincinnati Bengals,DST18,220.5,Cincinnati Bengals,cincinnati bengals,DST,2022,210,0.29391891891891897,19,0.4
216,Kenyan Drake,RB59,221.3,Kenyan Drake,kenyan drake,RB,2022,212,0.28716216216216217,65,0.2808988764044944
217,Chris Boswell,K16,202.7,Chris Boswell,chris boswell,K,2022,186,0.375,15,0.43999999999999995
218,Jameson Williams,WR74,202.7,Jameson Williams,jameson williams,WR,2022,186,0.375,65,0.37254901960784315
219,Kenny Pickett,QB27,225.3,Kenny Pickett,kenny pickett,QB,2022,219,0.2635135135135135,28,0.2702702702702703
220,Mason Crosby,K17,170.5,Mason Crosby,mason crosby,K,2022,153,0.4864864864864865,8,0.72
221,Carson Wentz,QB28,208.3,Carson Wentz,carson wentz,QB,2022,191,0.3581081081081081,25,0.3513513513513513
