Rk,Player,Tm,FantPos,Age,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Fumbles_Fmb,Fumbles_FL,Scoring_TD,Scoring_2PM,Scoring_2PP,Fantasy_FantPt,Fantasy_PPR,Fantasy_DKPt,Fantasy_FDPt,Fantasy_VBD,Fantasy_PosRank,Fantasy_OvRank,Player_fixed,player_clean,POS,POS_group,team,year,PPR_rank_year
401,Tyler Kroft,CIN,TE,24,14,11,0,0,0,0,0,0,0,,0,12,10,92,9.2,0,0,0,0,,,9,19.2,19.2,14.2,,73,,Tyler Kroft,tyler kroft,TE,TE,CIN,2016,369.0
402,Tommylee Lewis,NOR,WR,24,12,1,0,0,0,0,0,3,11,3.67,0,11,7,76,10.86,0,2,0,0,,,9,15.7,15.7,12.2,,161,,Tommylee Lewis,tommylee lewis,WR,WR,NOR,2016,387.0
403,Marcel Reece,SEA,WR,31,4,0,0,0,0,0,0,2,0,0.0,0,5,5,73,14.6,0,0,0,0,1.0,,9,14.3,14.3,11.8,,159,,Marcel Reece,marcel reece,WR,WR,SEA,2016,393.0
404,Drew Stanton,ARI,QB,32,5,1,19,48,192,2,3,3,-3,-1.0,0,0,0,0,,0,0,0,0,,,9,9.4,12.4,12.4,,51,,Drew Stanton,drew stanton,QB,QB,ARI,2016,427.0
405,Juwan Thompson,DEN,RB,24,8,1,0,0,0,0,0,8,26,3.25,1,1,0,0,,0,0,0,1,,,9,8.6,8.6,8.6,,120,,Juwan Thompson,juwan thompson,RB,RB,DEN,2016,438.0
406,Scott Tolzien,IND,QB,29,3,1,23,37,216,1,2,6,3,0.5,0,0,0,0,,0,1,0,0,,,9,8.9,10.9,10.9,,54,,Scott Tolzien,scott tolzien,QB,QB,IND,2016,433.0
407,Fitzgerald Toussaint,PIT,RB,26,16,0,0,0,0,0,0,14,58,4.14,0,3,3,33,11.0,0,0,0,0,,,9,12.1,12.1,10.6,,117,,Fitzgerald Toussaint,fitzgerald toussaint,RB,RB,PIT,2016,412.0
408,Bryce Treggs,PHI,WR,22,9,1,0,0,0,0,0,2,7,3.5,0,12,3,80,26.67,0,0,0,0,,,9,11.7,11.7,10.2,,162,,Bryce Treggs,bryce treggs,WR,WR,PHI,2016,415.0
409,Terrell Watson,PHI,RB,23,1,0,0,0,0,0,0,9,28,3.11,1,1,1,5,5.0,0,0,0,1,,,9,10.3,10.3,9.8,,116,,Terrell Watson,terrell watson,RB,RB,PHI,2016,421.0
410,Derek Watt,SDG,RB,24,16,2,0,0,0,0,0,2,4,2.0,0,4,4,83,20.75,0,0,0,0,,,9,12.7,12.7,10.7,,118,,Derek Watt,derek watt,RB,RB,SDG,2016,408.0
411,Charlie Whitehurst,CLE,QB,34,1,0,14,24,182,1,1,2,1,0.5,0,0,0,0,,0,0,0,0,,,9,9.4,10.4,10.4,,52,,Charlie Whitehurst,charlie whitehurst,QB,QB,CLE,2016,427.0
412,Andre Williams,SDG,RB,24,1,0,0,0,0,0,0,18,87,4.83,0,2,0,0,,0,0,0,0,,,9,8.7,8.7,8.7,,119,,Andre Williams,andre williams,RB,RB,SDG,2016,436.0
413,Trevone Boykin,SEA,QB,23,5,0,13,18,145,1,1,8,1,0.13,0,0,0,0,,0,1,0,0,,,8,7.9,8.9,8.9,,56,,Trevone Boykin,trevone boykin,QB,QB,SEA,2016,442.0
414,Ryan Grant,WAS,WR,26,16,1,0,0,0,0,0,0,0,,0,19,9,76,8.44,0,0,0,0,,,8,16.6,16.6,12.1,,165,,Ryan Grant,ryan grant,WR,WR,WAS,2016,382.0
415,Connor Hamlett,CLE,TE,24,3,2,0,0,0,0,0,0,0,,0,1,1,17,17.0,1,0,0,1,,,8,8.7,8.7,8.2,,77,,Connor Hamlett,connor hamlett,TE,TE,CLE,2016,436.0
416,Rashard Higgins,CLE,WR,22,16,0,0,0,0,0,0,0,0,,0,12,6,77,12.83,0,0,0,0,,,8,13.7,13.7,10.7,,164,,Rashard Higgins,rashard higgins,WR,WR,CLE,2016,398.0
417,Cody Latimer,DEN,WR,24,12,1,0,0,0,0,0,0,0,,0,15,8,76,9.5,0,0,0,0,,,8,15.6,15.6,11.6,,166,,Cody Latimer,cody latimer,WR,WR,DEN,2016,389.0
418,Matt Lengel,NWE,TE,26,6,0,0,0,0,0,0,0,0,,0,3,2,22,11.0,1,0,0,1,,,8,10.2,10.2,9.2,,76,,Matt Lengel,matt lengel,TE,TE,NWE,2016,423.0
