season,playerId,player,position,team,conference,category,statType,stat
2020,4363129,Pearse Migl,TE,Louisiana,Sun Belt,defensive,SACKS,0
2020,4691547,Preston Daniel,TE,Florida State,ACC,receiving,REC,2
2020,4240121,Thayer Thomas,WR,NC State,ACC,puntReturns,NO,10
2020,4362992,Peter Gray,TE,UTSA,Conference USA,defensive,PD,0
2020,4570190,Jake Bailey,WR,Rice,Conference USA,receiving,YDS,276
2020,4362211,Trey Lowe III,QB,Southern Miss,Conference USA,passing,INT,3
2020,4245147,Jamire Calvin,WR,Washington State,Pac-12,receiving,TD,1
2020,4362523,Will Mallory,TE,Miami,ACC,receiving,TD,4
2020,4038443,Mitchell Perkinson,WR,Central Arkansas,Southland,receiving,REC,5
2020,4689901,Jevin Frett,WR,UL Monroe,Sun Belt,defensive,SOLO,1
2020,4243715,Dalen Morris,QB,Navy,American Athletic,rushing,TD,2
2020,4241988,Trevon Grimes,WR,Florida,SEC,defensive,TFL,0
2020,4036473,Logan Bonner,QB,Arkansas State,Sun Belt,rushing,CAR,34
