player,position,season,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
Chance Nolan,QB,2020,2,1,0,0.0,0,0,0,91,46,2,0.505,6,537,5.9,0,0,0,0,0.0,30,28,1,147,4.9
Chance Nolan,QB,2021,3,2,0,0.0,0,0,0,318,204,10,0.642,19,2677,8.4,0,0,0,0,0.0,70,25,3,286,4.1
Chance Nolan,QB,2022,0,0,0,0.0,0,0,0,111,66,8,0.595,7,939,8.5,0,0,0,0,0.0,16,15,1,75,4.7
Chance Stevenson,QB,2019,0,0,0,0.0,0,0,0,2,2,0,1.0,0,63,31.5,0,0,0,0,0.0,2,7,0,11,5.5
Chance Thrasher,QB,2017,0,0,0,0.0,0,0,0,10,5,2,0.5,0,52,5.2,0,0,0,0,0.0,4,17,0,32,8.0
Chance Thrasher,QB,2018,0,0,0,0.0,0,0,0,1,1,0,1.0,0,3,3.0,0,0,0,0,0.0,5,4,0,10,2.0
Chance Thrasher,QB,2019,1,0,0,0.0,0,0,0,6,4,0,0.667,0,29,4.8,0,0,0,0,0.0,4,12,0,10,2.5
Chance Warren,RB,2019,1,1,0,0.0,0,0,0,3,2,0,0.667,1,19,6.3,41,6,1,91,15.2,5,22,2,70,14.0
Chance Warren,RB,2020,2,0,0,0.0,0,0,0,2,0,0,0.0,0,0,0.0,41,6,0,94,15.7,29,20,3,95,3.3
Chance Warren,RB,2021,1,0,0,0.0,0,0,0,1,1,0,1.0,0,16,16.0,49,11,3,169,15.4,43,26,1,260,6.0
Chance Williams,RB,2022,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,78,8,0,147,18.4,50,22,2,199,4.0
Chance Williams,RB,2023,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,39,15,1,135,9.0,148,61,6,890,6.0
Chance Williams,RB,2024,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,15,16,0,67,4.5
Chance Wilson,QB,2024,0,0,0,0.0,0,0,0,23,10,0,0.435,0,141,6.1,0,0,0,0,0.0,18,13,2,65,3.6
Chancellor Edwards,QB,2022,1,0,0,0.0,0,0,0,32,15,2,0.469,0,131,4.1,0,0,0,0,0.0,17,9,1,-35,-2.1
Chancellor Edwards,QB,2023,3,3,0,0.0,0,0,0,94,52,3,0.553,4,462,4.9,0,0,0,0,0.0,25,7,0,-2,-0.1
Chandler Allphin,WR,2014,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,26,5,0,50,10.0,0,0,0,0,0.0
Chandler Baker,WR,2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0
Chandler Brayboy,WR,2021,2,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,7,5,0,17,3.4,0,0,0,0,0.0
Chandler Brayboy,WR,2022,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,75,28,3,461,16.5,1,7,0,7,7.0
Chandler Brayboy,WR,2023,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,76,30,4,589,19.6,14,41,1,117,8.4
Chandler Brayboy,WR,2024,2,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,70,59,8,979,16.6,8,35,0,121,15.1
Chandler Burks,QB,2018,0,0,0,0.0,0,0,0,19,12,1,0.632,1,201,10.6,0,0,0,0,0.0,15,6,0,36,2.4
Chandler Curtis,WR,2017,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,8,2,0,6,3.0,0,0,0,0,0.0
Chandler Dexter,TE,2017,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,8,1,0,8,8.0,0,0,0,0,0.0
Chandler Dorrell,WR,2014,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,36,10,0,118,11.8,0,0,0,0,0.0
Chandler Dorrell,WR,2015,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,10,3,0,20,6.7,0,0,0,0,0.0
Chandler Fields,QB,2019,0,0,0,0.0,0,0,0,3,3,0,1.0,0,16,5.3,0,0,0,0,0.0,1,4,0,4,4.0
Chandler Fields,QB,2020,0,0,0,0.0,0,0,0,6,0,0,0.0,0,0,0.0,0,0,0,0,0.0,1,0,0,-6,-6.0
Chandler Fields,QB,2021,0,0,0,0.0,0,0,0,13,9,0,0.692,1,106,8.2,0,0,0,0,0.0,3,10,0,14,4.7
Chandler Fields,QB,2022,0,0,0,0.0,0,0,0,183,106,4,0.579,11,1123,6.1,0,0,0,0,0.0,36,21,2,87,2.4
Chandler Fields,QB,2023,3,1,0,0.0,0,0,0,143,96,3,0.671,7,1069,7.5,0,0,0,0,0.0,29,13,2,-8,-0.3
Chandler Fields,QB,2024,0,0,0,0.0,0,0,0,87,63,1,0.724,5,897,10.3,0,0,0,0,0.0,26,34,2,88,3.4
Chandler Harvin,WR,2019,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,20,5,0,68,13.6,0,0,0,0,0.0
Chandler Harvin,WR,2022,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,74,37,7,598,16.2,0,0,0,0,0.0
Chandler Harvin,WR,2023,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,57,26,4,375,14.4,0,0,0,0,0.0
Chandler McGruder,RB,2022,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,3,1,0,3,3.0,11,13,0,49,4.5
Chandler Morris,QB,2020,0,0,0,0.0,0,0,0,5,3,0,0.6,0,39,7.8,0,0,0,0,0.0,5,16,2,44,8.8
Chandler Morris,QB,2021,4,2,0,0.0,0,0,0,76,50,0,0.658,3,695,9.1,7,1,0,7,7.0,25,26,1,83,3.3
Chandler Morris,QB,2022,0,0,0,0.0,0,0,0,27,18,0,0.667,1,145,5.4,0,0,0,0,0.0,6,15,0,24,4.0
Chandler Morris,QB,2023,1,1,0,0.0,0,0,0,202,132,5,0.653,12,1528,7.6,0,0,0,0,0.0,45,32,3,249,5.5
Chandler Morris,QB,2024,2,1,0,0.0,0,0,0,509,322,12,0.633,31,3774,7.4,0,0,0,0,0.0,60,49,4,242,4.0
Chandler Pittman,RB,2021,0,0,0,0.0,0,0,0,1,1,0,1.0,0,9,9.0,31,5,2,43,8.6,14,12,0,65,4.6
Chandler Pittman,RB,2022,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,53,5,1,74,14.8,22,11,0,47,2.1
Chandler Pittman,RB,2023,0,0,0,0.0,0,0,0,1,1,0,1.0,1,38,38.0,31,16,0,130,8.1,9,11,0,26,2.9
Chandler Pittman,RB,2024,0,0,0,0.0,0,0,0,1,1,0,1.0,0,25,25.0,25,8,0,51,6.4,2,6,0,7,3.5
Chandler Rogers,QB,2019,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,2,9,0,6,3.0
Chandler Rogers,QB,2021,3,1,0,0.0,0,0,0,179,112,3,0.626,9,1311,7.3,0,0,0,0,0.0,139,24,1,367,2.6
Chandler Rogers,QB,2022,7,3,0,0.0,0,0,0,319,216,7,1.358,15,2403,15.1,3,1,1,3,3.0,145,56,5,353,4.9
Chandler Rogers,QB,2023,11,6,0,0.0,0,0,0,422,262,5,0.621,29,3383,8.0,0,0,0,0,0.0,109,75,4,180,1.7
Chandler Rogers,QB,2024,0,0,0,0.0,0,0,0,25,12,0,0.48,0,117,4.7,3,1,0,3,3.0,29,25,1,86,3.0
Chandler Smith,RB,2018,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,6,1,0,6,6.0,28,19,2,132,4.7
Chandler Smith,RB,2019,1,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,12,5,0,8,1.6,32,34,0,159,5.0
Chandler Smith,RB,2020,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,11,3,0,29,9.7,25,26,0,119,4.8
Chandler Smith,RB,2021,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,31,15,2,129,4.2
Chandler Smith,WR,2019,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,4,1,0,4,4.0,0,0,0,0,0.0
Chandler Smith,WR,2021,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,3,3,0,0,0.0,0,0,0,0,0.0
